1555045838.518000, Muse-5A55/elements/delta_absolute, 0.7521935, 0.77872145, 0.0088216, 1.4019963
1555045838.518000, Muse-5A55/elements/theta_absolute, 0.56313527, 0.40043056, -0.1975787, 1.34417
1555045838.518000, Muse-5A55/elements/gamma_absolute, 0.20443739, -0.5391366, -0.6147948, 0.6235535
1555045838.518000, Muse-5A55/elements/alpha_relative, 0.24383137, 0.11235121, 0.28325725, 0.0630879
1555045838.518000, Muse-5A55/elements/beta_relative, 0.20550023, 0.07257195, 0.12010628, 0.13369896
1555045838.518000, Muse-5A55/elements/delta_relative, 0.28526807, 0.5557546, 0.32083768, 0.39336777
1555045838.518000, Muse-5A55/elements/theta_relative, 0.18458438, 0.23259063, 0.19947343, 0.3443281
1555045838.518000, Muse-5A55/elements/gamma_relative, 0.08081595, 0.026731607, 0.07632537, 0.0655173
1555045838.518000, Muse-5A55/elements/alpha_session_score, 0.45454547, 0.37209302, 0.14583333, 0.26153848
1555045838.518000, Muse-5A55/elements/beta_session_score, 0.35135135, 0.5, 0.06, 1.0
1555045838.518000, Muse-5A55/elements/delta_session_score, 0.47945204, 0.7217391, 0.20512821, 1.0
1555045838.518000, Muse-5A55/elements/theta_session_score, 0.4923077, 0.75490195, 0.25, 1.0
1555045838.518000, Muse-5A55/elements/gamma_session_score, 0.0, 0.0, 0.104166664, 0.7659575
1555045838.518000, Muse-5A55/elements/is_good, 0.0, 1.0, 1.0, 0.0
1555045838.518000, Muse-5A55/elements/horseshoe, 1.0, 1.0, 1.0, 1.0
1555045838.518000, Muse-5A55/notch_filtered_eeg, 765.1941, 843.18176, 838.0975, 762.471
1555045838.518000, Muse-5A55/variance_eeg, 334.0702, 43.150753, 18.945984, 404.8236
1555045838.518000, Muse-5A55/variance_notch_filtered_eeg, 290.95868, 41.585842, 17.22722, 360.51538
1555045838.518000, Muse-5A55/eeg, 768.3883, 844.94507, 838.49817, 770.0, nan, nan
1555045838.558000, Muse-5A55/gyro, -1.1663818, -6.422577, 1.9664001
1555045838.558000, Muse-5A55/gyro, -1.9140625, -6.534729, 2.6243591
1555045838.559000, Muse-5A55/gyro, -2.549591, -6.721649, 3.633728
1555045838.559000, Muse-5A55/acc, -0.10412598, 0.082336426, 0.99450684
1555045838.559000, Muse-5A55/acc, -0.09753418, 0.08074951, 0.9941406
1555045838.559000, Muse-5A55/acc, -0.089660645, 0.07800293, 0.9890747
1555045838.561000, Muse-5A55/notch_filtered_eeg, 758.9396, 844.91364, 838.0678, 757.0866
1555045838.561000, Muse-5A55/variance_eeg, 334.0702, 43.150753, 18.945984, 404.8236
